853810"2018902021"Repeat Offender"4021 9TH ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
769234"2016921429"Repeat Offender"1304 ANGUS DR, HARVEY"9/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/26/2016"SCOTSDALE"1304 ANGUS DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/24/2017"LETTER RETURNED"01/24/2017"DEMAND LETTER"01/13/2017"DEMAND LETTER"01/13/2017"
766489"2016920342"Repeat Offender"1348 ANGUS DR, HARVEY"9/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/13/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"LETTER RETURNED"03/22/2017"DEMAND LETTER"01/10/2017"DEMAND LETTER"01/10/2017"
764371"2016919578"Repeat Offender"1304 ANGUS DR, HARVEY"9/1/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/01/2016"SCOTSDALE"1304 ANGUS DR"HARVEY"W"LETTER RETURNED"01/24/2017"DEMAND LETTER"01/18/2017"
764403"2016919584"Repeat Offender"1305 ANGUS DR, HARVEY"9/1/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/01/2016"SCOTTSDALE"1305 ANGUS DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/23/2017"DEMAND LETTER"01/18/2017"
757923"2016917150"Repeat Offender"1348 ANGUS DR, HARVEY"8/3/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/03/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/30/2017"
757044"2016916812"Repeat Offender"1305 ANGUS DR, HARVEY"8/1/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/01/2016"SCOTTSDALE"1305 ANGUS DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/20/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
756915"2016916752"Repeat Offender"1304 ANGUS DR, HARVEY"7/29/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/29/2016"SCOTSDALE"1304 ANGUS DR"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"07/20/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/20/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
755764"2016916261"Repeat Offender"1348 ANGUS DR, HARVEY"7/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/26/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"
755430"2016916121"Repeat Offender"1305 ANGUS DR, HARVEY"7/25/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/25/2016"SCOTTSDALE"1305 ANGUS DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/29/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
748261"2016913278"Repeat Offender"1348 ANGUS DR, HARVEY"6/21/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/21/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"06/09/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/09/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
746711"2016912648"Repeat Offender"1305 ANGUS DR, HARVEY"6/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/15/2016"SCOTTSDALE"1305 ANGUS DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/03/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
742989"2016911140"Repeat Offender"1348 ANGUS DR, HARVEY"5/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/27/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/20/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
743010"2016911153"Repeat Offender"1304 ANGUS DR, HARVEY"5/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/27/2016"SCOTSDALE"1304 ANGUS DR"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"05/16/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/16/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
738821"2016909495"Repeat Offender"1348 ANGUS DR, HARVEY"5/9/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/09/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"04/25/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/25/2016"
735922"2016908280"Repeat Offender"1348 ANGUS DR, HARVEY"4/25/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/25/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"COMPLAINT RECEIVED"04/25/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/06/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/06/2016"
720530"2016902162"Repeat Offender"1304 ANGUS DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTSDALE"1304 ANGUS DR"HARVEY"W"COMMENT"09/12/2016"COMMENT"08/18/2016"BILLED"08/05/2016"COMMENT"07/22/2016"COMMENT"07/01/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/24/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/15/2016"COMMENT"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720393"2016902187"Repeat Offender"1305 ANGUS DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTTSDALE"1305 ANGUS DR"HARVEY"W"COMMENT"07/14/2016"MAIL CORRESPONDANCE"07/07/2016"COMMENT"07/01/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/28/2016"COMMENT"04/15/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/06/2016"COMMENT"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720183"2016902423"Repeat Offender"1348 ANGUS DR, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"SCOTSDALE"1348 ANGUS DR"HARVEY"W"LETTER RETURNED"07/06/2016"COMMENT"07/01/2016"DEMAND LETTER"06/23/2016"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"COMMENT"06/10/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/29/2016"COMMENT"04/15/2016"BILLED"04/08/2016"COMMENT"03/23/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/17/2016"COMMENT"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
807453"2017909236"Repeat Offender"8 ANN LOUISE ST, HARVEY"5/2/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/02/2017"JACQUELINE COURT"8 ANN LOUISE ST"HARVEY"W"DEMAND LETTER"07/26/2017"MAIL CORRESPONDANCE"05/26/2017"COMMENT"05/23/2017"MAIL CORRESPONDANCE"05/23/2017"BILLED"05/08/2017"PROPERTY CUT BY PARISH CONTRACTOR"04/26/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/26/2017"COMPLAINT ENTERED/DATE"04/26/2017"COMPLAINT RECEIVED"04/26/2017"
720269"2016902714"Repeat Offender"137 ANNE DR, AVONDALE"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"AVONDALE HOMES"137 ANNE DR"AVONDALE"W"COMMENT"08/04/2016"COMMENT"07/15/2016"COMMENT"06/24/2016"COMMENT"05/27/2016"COMMENT"05/13/2016"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMMENT"02/10/2017"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
791204"2017903138"Repeat Offender"3517 ARAPAHOE DR, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"TIMBERLANE VILLAGE PHASE 1"3517 ARAPAHOE DR"HARVEY"W"COMMENT"05/18/2017"COMMENT"04/24/2017"COMMENT"04/05/2017"BILLED"03/28/2017"MAIL CORRESPONDANCE"03/17/2017"COMMENT"03/08/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/07/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791102"2017903055"Repeat Offender"3125 ARBUTUS LN, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"OAK COVE"3125 ARBUTUS LN"MARRERO"W"DEMAND LETTER"08/18/2017"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"07/06/2017"COMMENT"06/12/2017"BILLED"05/22/2017"COMMENT"05/18/2017"COMMENT"05/09/2017"COMMENT"04/17/2017"COMMENT"03/23/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/21/2017"COMMENT"02/23/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
720232"2016902412"Repeat Offender"506 ARIS AVE, METAIRIE"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"CANAL STREET"500 Block ARIS AVE"METAIRIE"E"COMMENT"06/28/2016"COMMENT"06/24/2016"COMMENT"05/13/2016"COMMENT"04/19/2016"COMMUNICATION W/OWNER/AGENT"03/23/2016"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/03/2017"
854085"2018901663"Repeat Offender"2028 ARMSTRONG DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"2028 ARMSTRONG DR"MARRERO"W"
853686"2018901946"Repeat Offender"2041 ARMSTRONG DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"
854480"2018902063"Repeat Offender"2065 ARMSTRONG DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"
853870"2018902098"Repeat Offender"2037 ARMSTRONG DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"2037 ARMSTRONG DR"MARRERO"W"
854190"2018902114"Repeat Offender"2057 ARMSTRONG DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"2057 ARMSTRONG DR"MARRERO"W"
854081"2018902137"Repeat Offender"2032 ARMSTRONG DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"2032 ARMSTRONG DR"MARRERO"W"
849063"2017924318"Repeat Offender"2065 ARMSTRONG DR, MARRERO"11/13/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"11/13/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"
834461"2017919206"Repeat Offender"2041 ARMSTRONG DR, MARRERO"8/30/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/30/2017"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"LETTER RETURNED"01/18/2018"
834465"2017919207"Repeat Offender"2065 ARMSTRONG DR, MARRERO"8/30/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/30/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"
833040"2017918810"Repeat Offender"2037 ARMSTRONG DR, MARRERO"8/24/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/24/2017"LINCOLNSHIRE"2037 ARMSTRONG DR"MARRERO"W"
833042"2017918811"Repeat Offender"2041 ARMSTRONG DR, MARRERO"8/24/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/24/2017"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/18/2017"
833044"2017918813"Repeat Offender"2065 ARMSTRONG DR, MARRERO"8/24/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/24/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"
829763"2017917493"Repeat Offender"2041 ARMSTRONG DR, MARRERO"8/10/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/10/2017"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"COMPLAINT ENTERED/DATE"07/10/2017"COMPLAINT RECEIVED"07/10/2017"
826318"2017916196"Repeat Offender"2065 ARMSTRONG DR, MARRERO"7/27/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/27/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"
819025"2017913446"Repeat Offender"2041 ARMSTRONG DR, MARRERO"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/07/2017"
819041"2017913452"Repeat Offender"2065 ARMSTRONG DR, MARRERO"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"
804544"2017908025"Repeat Offender"2041 ARMSTRONG DR, MARRERO"4/18/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/18/2017"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"COMPLAINT ENTERED/DATE"04/04/2017"COMPLAINT RECEIVED"04/04/2017"
804548"2017908029"Repeat Offender"2065 ARMSTRONG DR, MARRERO"4/18/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/18/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"COMPLAINT RECEIVED"04/04/2017"
799668"2017906425"Repeat Offender"2057 ARMSTRONG DR, MARRERO"3/23/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"03/23/2017"LINCOLNSHIRE"2057 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/07/2017"
799392"2017906328"Repeat Offender"2028 ARMSTRONG DR, MARRERO"3/22/2017"HIGH WEEDS ON LOT"PMZ - WEED CONTROL"03/22/2017"LINCOLNSHIRE"2028 ARMSTRONG DR"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"03/06/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/06/2017"
791368"2017903643"Repeat Offender"2041 ARMSTRONG DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"LETTER RETURNED"07/21/2017"COMMENT"07/11/2017"DEMAND LETTER"07/10/2017"COMMENT"06/09/2017"COMMENT"05/25/2017"COMMENT"05/02/2017"MAIL CORRESPONDANCE"04/27/2017"COMMENT"04/05/2017"BILLED"03/28/2017"MAIL CORRESPONDANCE"03/10/2017"COMMENT"03/08/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/06/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791256"2017903716"Repeat Offender"2065 ARMSTRONG DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"COMMENT"07/14/2017"DEMAND LETTER"07/10/2017"COMMENT"06/09/2017"COMMENT"05/25/2017"COMMENT"05/02/2017"COMMENT"04/05/2017"BILLED"03/28/2017"COMMENT"03/08/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/06/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
775322"2016923660"Repeat Offender"2065 ARMSTRONG DR, MARRERO"10/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/27/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/29/2017"DEMAND LETTER"02/06/2017"
766513"2016920353"Repeat Offender"2041 ARMSTRONG DR, MARRERO"9/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/13/2016"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/17/2017"DEMAND LETTER"01/10/2017"
766249"2016920258"Repeat Offender"2065 ARMSTRONG DR, MARRERO"9/12/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/12/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/14/2017"DEMAND LETTER"01/09/2017"
762785"2016919042"Repeat Offender"2065 ARMSTRONG DR, MARRERO"8/25/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/25/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/29/2017"DEMAND LETTER"02/03/2017"
762791"2016919045"Repeat Offender"2041 ARMSTRONG DR, MARRERO"8/25/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/25/2016"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/20/2017"DEMAND LETTER"02/03/2017"
755216"2016916000"Repeat Offender"2065 ARMSTRONG DR, MARRERO"7/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/22/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"07/13/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/13/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
755242"2016916017"Repeat Offender"2041 ARMSTRONG DR, MARRERO"7/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/22/2016"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/13/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
752686"2016914984"Repeat Offender"2065 ARMSTRONG DR, MARRERO"7/12/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/12/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"COMPLAINT ENTERED/DATE"07/12/2016"COMPLAINT RECEIVED"07/12/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/23/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/23/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
744977"2016911907"Repeat Offender"2065 ARMSTRONG DR, MARRERO"6/7/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/07/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"05/31/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/31/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
745073"2016911946"Repeat Offender"2041 ARMSTRONG DR, MARRERO"6/7/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/07/2016"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
741630"2016910619"Repeat Offender"2065 ARMSTRONG DR, MARRERO"5/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/23/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
741774"2016910654"Repeat Offender"2041 ARMSTRONG DR, MARRERO"5/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/23/2016"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
736651"2016908567"Repeat Offender"2065 ARMSTRONG DR, MARRERO"4/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/28/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/18/2016"
736684"2016908581"Repeat Offender"2057 ARMSTRONG DR, MARRERO"4/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/28/2016"LINCOLNSHIRE"2057 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/18/2016"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/26/2017"
736712"2016908587"Repeat Offender"2041 ARMSTRONG DR, MARRERO"4/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/28/2016"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"COMPLAINT RECEIVED"04/28/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/18/2016"
735384"2016908099"Repeat Offender"2041 ARMSTRONG DR, MARRERO"4/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/22/2016"LINCOLNSHIRE"2041 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/29/2016"
735388"2016908100"Repeat Offender"2057 ARMSTRONG DR, MARRERO"4/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/22/2016"LINCOLNSHIRE"2057 ARMSTRONG DR"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"03/29/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/29/2016"
735398"2016908104"Repeat Offender"2065 ARMSTRONG DR, MARRERO"4/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/22/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/29/2016"
720331"2016902203"Repeat Offender"2065 ARMSTRONG DR, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"LINCOLNSHIRE"2065 ARMSTRONG DR"MARRERO"W"MAIL CORRESPONDANCE"07/07/2016"LETTER RETURNED"07/01/2016"COMMENT"06/24/2016"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/19/2016"BILLED"03/24/2016"COMMENT"03/15/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/08/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720288"2016902369"Repeat Offender"2028 ARMSTRONG DR, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"LINCOLNSHIRE"2028 ARMSTRONG DR"MARRERO"W"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
